,a
12192716,79c58f8bae0e6efbf232cecf0a21374d55e531fc	SOKILGU12A8C13F565	1
44049553,38302f1e36b75da9deb8a8031a3aec81fae52c2c	SOXPRYO12A8AE46249	1
14304211,bff8c69fed607ebe41787e5529b8453b609e122b	SOLFXQT12A8C13E06C	10
15980333,e8cb5c62c6dfcce854f3d0220c52cd6df8d63dfb	SONZTKX12A6D4FB006	1
7194556,9f2a8ddc4777c6debd07cd59d5a3e580c666f5cc	SOIXIEP12A6D4FD103	5
35262974,7bf6188ad4609d0f33b1d7f47bfd703ced18c218	SOGXSWA12A6D4FBC99	6
19856579,029a9b834b0d82270a3177fc5268b100f0284a15	SOIRBHT12A8C13AA41	1
9331696,4730c09976d6f42687427eeaea5f4883653dade9	SOWUMCS12A6D4F777C	1
8568949,496807e855faa0466100883a6df102a3929d6768	SOYNJCS12A67ADE35F	4
45710826,277fdf96a1e69c217f62e66421522ea148893224	SOKMHKY12AF72AB079	13
17483761,3df75eee095b6c273289425e13eca9f0299db4c9	SOBRZCG12A6702187D	1
1281667,edc78b433b0eed6e1ebe787718a709662c531430	SOEGIYH12A6D4FC0E3	3
42257281,ed0a87a05ca0ca851261981003fbaed4d4da1890	SOKKFPA12A8C1349D0	1
30742403,d10c360fdc6c29c1bd6871785dfe51a044e61e04	SONDGTT12A6D4FA476	1
23122909,2023d9dec9e6647868c7080ababf34f01de56367	SOCKTXJ12A58291959	2
39621346,abe180b4604d52ef2d6e86781f5ad78c12f3cff3	SOHSTLE12A8C132425	1
4001694,538b748c6df86384ad1c60dff574abb69f28962f	SOXYIUA12A81C21828	4
7367605,260eda536d1de4edefe7e35af97a0fcdba77074f	SOVFFSK12A6BD55C96	1
982352,7d74ee7020f94d96fe2d1170f4595ad6d9dd5d6f	SOQFJLM12AC468D501	1
37104048,497534b6ecedf5ec692cd6d168addf13d83652d7	SOWDCUK12A8C14347C	1
10517709,5a87c097d5974907ada998c30c2d077b4afaccdf	SOMOWQZ12A58A7E906	1
11654973,35f5e01e596057596387087e8f1f3bb17098365e	SODFJLG12A8C137279	5
6279192,4ca1ad89fabf7c775216702d2638f5c26dc4bd34	SONGUXE12A8C140F10	1
43852014,35370d4919f953f9b4816052622a69c389c6c3bd	SOYXQYG12A6D4F8F74	1
3268634,6314ca7cbc3cc48dd9c7afe174db43a30264e5f6	SOTJMWE12A6D4F8128	1
2339012,10599c1548f2cc300d835cdc80c1275fbd84b32f	SORVPZP12A6D4FA86E	2
13056829,a398f62afa2a6496dea0d5d6f45880dc1f3da582	SOVRIZO12AF72A4C0C	1
23082100,4d7b4ee08a56c2eb821d9598b87e88bce687cc6b	SOOAVGC12AB01821EC	1
38118931,c91b02fb62ece3c817c93d97b99936b786d748a1	SOBUMPX12A58A7AD77	1
23294156,d66e6ebd21c86bbe422f71f160d135e9da1680f6	SOQDOQH12A8C13D96E	1
15484254,a257ded318d966e4e2c849d0f620e2b5eee13a7f	SOUOXFH12A6D4F95B0	1
6795742,986ec7dd9655913849be6c1ae897f442a273500c	SOKFORX12AB0189587	1
29455194,a9fa2e3006dd9427f54f978246a10a9d09da1fea	SOFZGWU12AB0182B3F	1
8132172,45006b4e023ec54eba8ee496d5db28150e5ba203	SOYEZOD12AB01883C0	1
8914411,de0cb1fb9a03f16ace21cb987fa706146c1ef9db	SOSAXUZ12AAF3B2031	1
11033299,fdf1059026d54cd19e4f1e30c87317763c0f1e3d	SOQIQZU12A6D4FB8B5	1
36440349,361795003b52928da7a0132c578fa2ad4a5b3285	SONBYTB12A67021676	1
6626228,ea1d03e6aeb4c1d6fffaa55f86c49c270ee5452b	SOARXRU12A8C134ABB	1
22952584,783c54b9431855c6e26ca16a923ccd10fc4059a1	SOGDGSE12A8AE47C17	2
32445960,8d52d8be6642880b0b843f804d504a68abe6b35f	SONTEMF12A6D4F8D0B	3
4713566,1bd96b77663bb29e6a0cd9540323cc6c0e28252f	SOGBIMF12AB01834BD	5
24479412,11c574869c2f1b149af5f6a5d4dcf04c09c9bbb5	SOINKVP12A8C13BF5D	1
31104116,526d5b65b0e9cea6716f1e2053d990025bd68135	SOHVDUR12A6D4F9CAA	1
31477624,7978b86cdabf788a3c1662153f0de963f49cff1b	SOJUYDG12A8C1345FF	2
22819184,3cd4f1ee49ff0e6361800e12c3aee0d5b71db337	SODCNJX12A6D4F93CB	1
27669328,4848ec409dcfce5a2b9cc7569f098da8a96282e2	SOSYOST12A8C13349C	5
11382242,895e24ea04a625cf47c4788a0dbaddf11d157c74	SOKTOPU12A8C13D86F	3
39077750,465f9a7ee8b7173dad6ecad543d82a0ba39ac514	SOPUCYA12A8C13A694	1
19670416,ab02b439a3b5c9ddb2d09d6cf70e9620aa66a850	SOUQPRC12AF72A6A66	1
37788777,72f7a941f245bf661bc1fa701f99b7475b3c4840	SOMOVXB12A58A7BDE4	1
7121590,2354b573dc6682f16aab0a7b75ffeca5f762b17f	SOSBKOE12A6D4F7D09	1
32088219,99e0f2d35403ec0e3e147f3cac02c6b79241c6a9	SOQPGDF12AB01858C5	1
11562679,f8cf45d7fa1c37eb9b2567563040113d883bc93a	SOFZFHQ12A8C13528A	3
41179023,20003344fc6adf862147921937f351d351d98bb6	SOIBTCL12A8C139B12	3
44037315,61e5d88f21f7c236a032f1af25a8633a4490b337	SOCMRWF12AB018AC92	1
26741285,16519571f3d34ef4f578f235c4cfa3cb3ff580b2	SOQWZAB12AB017C6F7	1
14364821,4ccbe0090632d919230b11ae52b0ccd9ad989fc6	SOWEWRL12A58A7961F	3
46426095,5a2b175419fa87ab6d2c67b7364567eecc09e386	SOVMUNT12AB018AA11	1
4523691,40111c1186c62df18133db1e35f788b9adc3cd9a	SOEHHJG12A6D4F968A	1
13433646,c6293677f24e59b1a318f5f2f5f6efe8626cfed8	SODKZFB12A6D4F621B	1
3818791,9ec2f7d1af3e1a76fa6f6b1f5dea92c145ea102e	SOWASXJ12A6701E2D3	1
16908626,b0b255efac0ff08eb339fce481c3e92aca848b3f	SOOWWRE12A8C13C53E	1
20983632,34a2bbcb7702d01b7363489f16ceb3fa7f155ab2	SOCWZND12AAF3B360E	2
37112394,86df49b5e1a2a7b3d53f99f1756bf5c6fc473da7	SOVFFSK12A6BD55C96	1
26562032,48c89b500dfb2344ffef537df1a1e9c100e023a8	SOSTTPA12A8AE47622	3
5703532,c6b988e31a5975a7c42010f8c1ec90c476a6e81d	SOJXAYV12A67ADA052	1
38475034,2eb4255eb6cf9e6fbcd7bc934a9b86e77e000f17	SOAAWEE12A6D4FBEC8	1
19039938,1392276f7143e7bc3b64387937c0cde50c5346c8	SOJVQGU12A67ADD4EF	1
21667124,0980c4841c8b8ec3b3fd3fe186efe70e53366197	SOWBOVQ12A67AD7554	56
31385479,fca2a47019937ddc19c6df3865c650a73afac3b1	SOEUTXF12A6D4FC6F8	1
37399861,820b982ce485f917416d41e83381b1db7f5e739d	SOZGDUH12AF72A6DB2	1
32418509,f7aa22804f5cb990b459f23774611a534be89d78	SOVKQYV12A8C141212	1
25722968,c2f0e1712f086a8743a3841d57ce2a5e5d3500e1	SOWARSU12A3F1E9FB1	1
12724696,57ea05742972935820eb830dcc1c4f8b07db65d6	SOBFUXS12A8C1353E5	1
46060182,845c5657f2da5188e9ad005aa21e977ea049eceb	SOMCMKG12A8C1347BF	6
46845941,f8e7f30aae1e82c445a5f6da3c21b7dda1e2712c	SONDIKG12AB018407C	19
488932,ad99329f020d990d8fbb6c9958ee659ea5f3498f	SOBNSME12A6701E2FD	9
24414725,87acae99d97402e6ef1eb4de4110c3c888e9b9a5	SOCSUOV12AF72A5805	1
11833931,84c7d785ca97baada4172718dd1bb7f702342551	SOCOHLA12A81C21660	1
27260639,025545528ba86fc660b3283727647dc591936580	SOIMDZL12A6D4F6EB1	1
42323837,58e380f50c897a13174519fcb432c014a6bb19f3	SODRVBA12A58A7F235	1
25997641,33fe3afeaa73f1fe1b71c240037f5e93be25f7fa	SONDPRL12AC468CF13	1
44982668,325edb1f45a3cf69cbde7cd98a0ac5ad8fceee9b	SOPJJDV12AB017D8D6	1
22200,9b633384fe2be667725bedc568d50a96532deca1	SOTMXGJ12A6D4FCEBB	1
28304846,5a2ede86478530470f435d3900bf86c44d20fa62	SOMSKVI12AB018E002	5
25833214,d1c67d4ad687aab9eb886b6cb0d5ae3a31c861ea	SOZSQUQ12AB018F6FB	7
9378542,e0d7ca2c565e6156580a2af37c6e29ca7394a148	SOZFBKZ12A8C13FB77	1
39624910,ad0e86a8a8824910183ee6d80be83bffa8666eaf	SOFEZNG12AB0186C01	1
31730047,2fe32a2f6483d203fe28f3454d299efcdac15a87	SOEDDJN12AB018461A	2
33633670,154e48f93542111904bb2551fe6dd5414a1458e7	SOWNWTH12A8C13A2A8	1
21284311,3f9ecda88dea0d12db02651d8dac463ff1dba81b	SOQPGDF12AB01858C5	5
45883804,5bd74e72939f69f96b85686e34a282c68240ff75	SOGIPOB12A6701CC4A	2
43570913,2251ef286d04578c4843ec551cd0e7e4e65312ca	SOBJBEU12AF729D526	3
9861498,dbc592e6498e9e368c6a5430f480932dacc9dc84	SOHQFLV12A6D4F863A	2
20948414,156ea53458737451e68ccf5032aa5b73d6d23980	SOIMQAK12A67ADE98C	6
3783855,eaf4d124588e77794fc136948323459831c9c081	SOMWCVL12AF729E81A	1
39187011,fbd9c99ccfceba3549b07b0f98411fcc42e5090d	SOLFJVY12A6D4F9DCA	1
6225968,4a719c909261eae9c0573f3d9b55312c7f1125ec	SOOBORI12A58A816C8	1
23713778,4db9daab0180ad69d946bb048da4f8c2cf374ef7	SOPDQWH12A8C13DCA1	2
25001839,4ca57e49d22d9f25f27e2a76ddad3beea56094fa	SOGDDKR12A6701E8FA	1
8262278,2a91603e56db9e873429f33aaf9662c626c5d761	SODHAKM12A58A7D72A	1
19023037,32ad3fb30ba1ae8868bcf65c3e6dc2d53559d05b	SOSJDQJ12A8C13D4A9	1
27079774,d173a2e646a2ca7b521ddae14f9c1c5da3a8ae59	SOUOIWT12A8C142D8C	2
30584118,85cbd9db2fcf13e6bf30c57204804a39137dff49	SOEYVHS12AB0181D31	1
26020240,f057643e3d78d2d6bed2d381afbf90aeb1ee9827	SODRLEQ12A6701F953	3
22075174,bf9551d4dc4f9142c5a55447b9999eb56135b460	SOEGOMU12A67ADBF0B	1
24688407,8a80112538f5110000fa757c2106a3ef96592c60	SOEKHUJ12AB0180C58	1
38903155,f54020d0b412feeebd4f6d4f39bb11885b648307	SOYMEBT12A58A7DE9C	3
42367696,c7417a59a6d67ef869bf970671b5246c4e3e16d6	SOSJFDH12A8C143096	1
4171404,eb6a5e6a34e458c102dc4eb749adcc2918fe6eb0	SOILDXN12AB01891C6	1
18780361,ae5cea2e2bbe009a1e4387857099b3e70d1d33ea	SORHQRQ12A8C13B61E	1
43439012,0fb52ed036c405e47b82a0d6ca24d7080cb66903	SOUJVIT12A8C1451C1	2
21089893,e3ae0c447012c6930324fbcddc0061d1cb26e27a	SOVPSKL12A670206B9	5
15454063,c3de3a875e99004ffdba7dc105f7067abc55891f	SOAYCLH12A81C22D59	2
27926140,0a6099601f8d780fb198c4bed0e84bd92cec959a	SOGCVPU12AB017CA73	1
4859518,bec684cd2d02f3460d3101082487499d04bc4a6d	SOOLYZQ12A6D4FA5B7	2
6884388,518a9e8f674c67ecf54ba2e7f7c308476a05f24b	SOFRWLV12A8C13FE55	1
15271448,3bdf1f13c5f9c7ac2aee3a93a91c05bf5a1625e9	SOVXEIC12AF72A3533	1
42368850,8bea5ceb22fa13e0b75e20d3021b0365e3e1fc8b	SOEKRIT12A8C1462DE	5
9978575,7b5ebe757a6700e426003757517322174881599e	SOUKMKR12A8C141925	1
15921383,92582f7e190d90c21316b3258fc819fb8bc04c47	SOEHFUP12A8C136E60	12
6204407,269624f7a33ace0c1111f68151f1e12ff4cf2253	SOEENHE12A8C13CA68	5
25838721,a2658cfc092cb52f2a7eba19ed1d506aeb8bcf7b	SOPODMB12AB01817E5	1
12342468,b004a1b7d3490fe57b9b03811ea6d5f4249cd8a8	SOXVTXV12AB018B33E	5
2027797,79af70920535c200c4903895b69ed0fe9fb357b3	SOHILNH12A6701E1C3	1
47451850,a3a9d3430d130caa959c64aa8b0dcbf921857b64	SOPZXWU12AB018228C	2
15408503,f3dc77fbef643978b4feda1e94fbf0b71c8246d4	SOVUFMS12AB0186822	1
45422380,e55818d7d4cdbbb61f1894277900b125f803c17e	SOWHSBW127D977CFA2	3
17338171,3c9ac807415e57f36866c56441924fa0114a86f8	SOLMKTS12A8AE46C27	4
33483320,3159061498da3dd9a903e27d7568a1eae00d23a1	SONMOVN12A8C13C0C9	2
42157674,f13fbf496fffdca93ebeadc579bbf4e00d788591	SOEFTHE12A6D4FA79D	1
15282591,87c814c8a8f5dcc1cb7fb905accd13b076d36de7	SOAJQDK12A8AE48245	1
10542224,9788400953dc305fb6734fafda99f2ae2bb446fc	SOVSGNU12A8C13459B	1
33349336,24b8e45587441bd4b07eeab42551614dce286612	SOFVBEX12A8AE45B19	1
31429555,4661b7eebda2c39ece4935230e71210e5fafc76b	SORJWCR12AB018DEDD	10
23203108,4af2e43140acbe58c0841b0e94aa5d6ac3ae0128	SOXPDMG12A6701F636	3
18933531,6dde282db8a68258c3007182c84d81e1f2f31fbc	SOKWGUK12A670208D7	1
22682353,176e49bb55da75a3ca6df43f525dcd847e0dc827	SOJGZXL12A6D4F2980	1
8137514,19c53716adad8886cc4c42af05a9d0cc42036c96	SOSFSTC12A8C141219	1
28794881,7e276aba0b90fe8cd49ec545f35de2ad3412ca76	SOXZYWO12AB018CF4A	6
33854945,bf040f086638f176e50f7a340b9bcf8f11d617f0	SOEKSGJ12A67AE227E	1
15172946,8f8d73f6d32cfaabdb63cce50088fa6611ccfe57	SOTJZBJ12A8C143A71	5
8407203,9c2894c7eaf68e9855ea109c5476aa5eae33c6a3	SOMDBEA12A8AE463E9	2
30262151,eab439a66873ef8a47328351a31107d881b128ec	SOBPRZE12A8C1313CC	21
26646890,89776b670d2334a1ecd55a90911986663ea1e850	SOEYFIJ12A8C13E773	4
46316178,b0ffecc4a4e8d3adf65d155cd8af05f7a2e1987b	SODFDJT12A8C13A08E	1
19653572,1c57b0961177959715149479544268e4500dea74	SODLAPJ12A8C142002	1
40426083,f439498e3b9ec73a1c89213e0e505b9c7215effa	SOCKFLZ12A81C222D4	5
14035035,5a901fc5fbe0afc86b5ac190bcb144a616ba3649	SOYXUDL12A582A2695	8
1762856,dc02d3c4fb534ca1406f720c70678e5858a5ca0a	SORVYXQ12AB018C994	37
36563359,de1b5c9d2caae5f8db24e2435626c246a9b333cf	SOPFUPB12A8C139B46	1
6613568,7c3731197e9a375e70689546b23b675578a314de	SOUZHNA12A8C13216B	1
39257233,bfe9af095e10dbc9c851532aff4769dacfcad5da	SOZRNFS12AF72A3EB5	1
43978840,8cfd751f77d467e1a1ba3bdb502259e1c76d9a6d	SOGRJHL12A8C13263D	5
33686185,39d15a9c7257200346282baaaf4c45e8931a510a	SOXMGFH12A6701FF31	4
18402580,0939f7efb6ec1c37122c2e08ea9c90f39081d8c7	SOYLJZI12A8C146017	5
40047805,9caee1e5cc3361b9bb5df10ba50268079de09735	SOCNCGL127D9786D66	5
21156772,ff6fd7a0bae525144b15c34a290bcba1c6992a69	SOTRQEJ12AF72A45D7	1
11391593,b5c0f25ecfa9a30dde5dfa769535f665e2873221	SOPDVTD12A8C13618B	1
19342097,f4c77ae2ff11e6df9b0e190e2f0dcd96f67a2880	SOVYHGO12A8AE47618	5
13960157,e71877385a63b24753ac0512542dd70bf6758676	SOTWREV12A6D4F912E	1
10943157,e94ef19e10c9d3d34aa09c5934889684d368472e	SOQKRNG12A58A804BA	3
14424800,573e7d9be5efb3b955fd12f6544426a62e48290d	SONBMJE12A81C20E70	1
630902,98989ead786e48b2637d26e92d3ebb4a5b2b3972	SOWRREB12A6D4FA7CB	1
33399152,d0389773157554a7229eaa73d5969cdee57bacf0	SOXZCVW12A8C13C2F7	1
38889414,3a2ced8b1d6153f1b5f0be9b1ba865c55250aa77	SOXTSFL12A81C217DD	1
2569116,495d53f28f6a33c246510194297675d7a22ce075	SOPFVKC12AB018990D	3
29505394,3e22773784f59856cbfb85dbc50e56f0f775712f	SOQZYQH12A8AE468E5	1
47140412,f8e0d4baf8a58dc8851b47fac964bc7e29105bd0	SOFXVVE12A8C14249C	5
20797861,9a7331435c656027a28dc4b74487f52426ecf493	SOAKDYF12AB018CE3E	2
23222636,9aa894daa6f73ea390f2b11c3a72326e621e84cf	SONGBPE12A6701F5F0	2
21258955,79a8f2229fcc9c09005ff1f24383dd3b60b88c45	SOXFDHM12AB0183ACB	5
22974839,1450c600d20ac645cc3d94060f821326e2b11d1b	SOFGCLQ12A8C1410D2	2
24940661,20c00e78dbb4fc05acfa8ab11eb3807ece0f2633	SOSQIHH12A8C13370B	1
4743109,511317872e73801e9746e4445e8c73452bfe9c02	SOTZION12A6D4FB477	1
1341655,5f0671c19308e28b1271d2708104ee02a2744e41	SOTEGWG12AB01897AC	1
1180624,05c65fd855997f3d0ff8e03a89c6c627bfd3881f	SOLHJSQ12AB018CE33	2
13037321,2aaadece7948c406934c544409cbd963ce90c6e0	SOBONKR12A58A7A7E0	27
18948600,773e97611c6ca176d55c2b8b3d335e72e4082644	SOFFLEN12A3F1EB0C5	1
8428974,a619995e5cee64f5f12353a683f83078e1db8f39	SOVBGJV12A6701C53F	2
6650404,203ab5749566e546806cbacc71e2f81b34829274	SOKDYRZ12AF72A631F	1
19156272,0ac43502dbaa44896838aea3954b181870d637e7	SORZCTH12A6D4FB0BD	1
18443377,bffb125272ce6e74581c7cd5f6870690961d2835	SOAHWRJ12A6D4F8CCC	1
19882000,428a253f790a3f6067493339a56d04bf2fe92acf	SOOVFYS12A81C23135	3
6911968,0d679e3e03457a70d80774e03e248fddc7472993	SODPDTO12A8C135429	1
16394224,8c7ba6767fee7f4528e16436ecd5938bb892fe33	SOAFQMR12A6D4F755A	1
44001292,be7a673b43c5811e2a8ed36c34012ea07a3f4345	SOSLMAY12A81C23242	1
34506081,48a5e9fa7d19065cb84ed9a7f47f3897a56aebe2	SOWMFSX12A6D4F9915	15
25544237,60e7d4661a494cdbe315ee958edb82a56154044d	SOXWHJD12AB018606C	5
37584668,472bb96f77209515808e550c95a358586cc3e323	SOLWRQM12AB0184C86	1
8727659,82edc5b3be5e387b514c1d9491e58d2cabbe5012	SOTIDKX12A6D4FA7EA	1
1605087,457d4a9a28191f430cc21fd7501553cab03a3244	SOWVAUX12AB018400A	1
36416004,be6f395d1fe2305a589946030ad835ff5de67abf	SOEVOKB12AB0180D34	1
14256101,2ab14af20cf3899612fce89510970c6c550b94f0	SOSHWWI12A58A7A6A0	1
4039069,9abe5186a055a62b23cc2538b8d21e41b7bd011a	SOMHEVM12A58A80951	2
28468767,c967b0ef4dfe723d3d3679d2c729f4661a063819	SOSJFEG12AB018BDB9	4
5552899,c74b3b82c0a184bbf2722ec758399f813696fee6	SOURVJI12A58A7F353	1
36620984,25692553ec7533dd953b4397fc3b3250a6086d3d	SODLFJY12A6701DA7B	1
32550145,37f0fef746a4ffad2c1ff0d72b4c461c6fddfc3d	SOPXKYD12A6D4FA876	1
10464762,ea01bda14d3d3ea89635c1fd0890624dc604a001	SOYDTRQ12AF72A3D61	2
20215557,e185243df02fcd8252c284133c59c55f52db4eda	SOGDTQS12A6310D7D1	1
20189735,11911185a5b12b43a7bd68da1271c52c5cdb1064	SOCYGFQ12A8C13C65B	1
300007,9d009b13dcd24bea1118776267a58ba3ae5b32ff	SOSELMV12A6D4FCF5A	1
39460755,68760a95ebb2f65b69df4bd65a7fef58103e18e8	SOXWDPP12A8C13C9AE	2
10443587,d227e2f6ba5cdc1a245f6142be5c594a9d24d5f5	SOTVLHC12A6701EA31	1
30774962,e806733f76ab266cb68b4683bf0751e2d61cf829	SOUUQOP12AC95F077E	1
650444,1d5c2240b1fb855a688efb6e7281110681ffbcc2	SOBWRTZ12AF72AA26E	2
33626118,7f69cd3bc11f54c2d5134aa5df16d91cd6fddf65	SOEQLJP12AB018FBC5	1
14482099,0cfe27c0a7a31461e0c8e00384c084811c53ab2d	SOSDOAF12A67ADCF5C	6
5878535,237ba9d574a1f0a7e83f992b068fdbbc9f033e84	SOYBAIN12B0B8066F3	1
36116457,1b7e29ec3a95658a457d3c28a5013b20438d0b83	SOLTYDG12AB017FCD2	2
13983567,a77d1fef4416d77a4d75756b689c82b29694b8cd	SOXQUPO12A6D4FC2B6	1
8508576,7d260c5388ac53ebfa89a62bbd48cf0b95ebff28	SOPRHFU12A8C13A256	1
43850476,8e9df06a3907eb5f6ad780f410611636229cc3fe	SOTJFTY12A58A7DCA6	1
30659513,fae60ec0f7b7a34f1837fa23613c37ef94bf1a63	SOLIIPO12AB01861F7	1
40352739,4cacda34a142c74d6f0fe330f49a4b3062ead712	SORJICW12A8C13640D	5
23928299,dcb6c2579372f0a6a91842cea7ef7e2424b63458	SOEMUXL12A58A7B848	1
23537152,fb552edf259ff31a090ffa20d650f9b8d4f239c4	SOGVXXE12A6D4F7596	1
30891689,71fe0a775f91f7a3f3a5133a59e1fedac4267798	SOGSHTR12A58A7BA5D	1
37213747,5ae146854c1e4f9820e5e42df10e9accada22b75	SOGRTRU12AB017E431	10
42388274,4569a3cfc453974c54133f43a5de9adbe524f3dd	SOLFKGE127D97820F3	1
1680877,ce65ceb21cc41eaaa47742bd4a42681e884435e7	SOPUCYA12A8C13A694	1
47543206,f3442e9841f294113aa18690c25841ed2bd897ed	SOWZPMO12A58A7B57A	2
43703426,8ae03012b0123ce7a83deed450041c3f2eda57e2	SORGUOB12A8C13E30A	1
18491230,49fd0843ac92875c40219689f21dd22ab814d645	SOVTBYA12A6D4F6540	1
12186246,0072d1cddda05cd413b6c7501d2696a76d32b2c7	SOYIJIL12A6701F1C1	1
23245494,60ea30ca2826c1cd3ce1225014a7ebd1e3eb5066	SOFIGYB12A8C13D427	1
7220791,eb603288365d1499d7fad6bd1d7512fc8335dc78	SOBXHDL12A81C204C0	1
28032919,9021dccb2701412815ee508c9358f5c86e1ddd10	SOFEGST12A58A7D682	2
5082764,c39776bb9293f3163bc0e1577209927712f5dce1	SOSVTZJ12AB01872DA	5
48078771,d3cf1da19f4a253223f25d9550571b6d735f8dee	SOCYCOC12A8151E156	1
47953670,248ff67a758f1d7542bb337543eb3d5f6c6f82a0	SOMQWBH12A8AE44A40	1
18016140,35ef5f0183f26f9a450d6a0f359375447ae8580e	SOPARNW12B0B80AD8D	1
37943148,0d3112ab8ba7ec810c267b77762fbb724a6f213c	SONQCXC12A6D4F6A37	10
29984509,d51fc6835875c65c1c67d9c5c826f971f062c8e0	SOFQLKW12AB0189FD8	2
5660220,6a61497cb025dbb9465dd8c886af01118886a6db	SOFIBYJ12A6D4F860B	1
39274366,effa13d690ae32541638a03e71a342112219db02	SOYIMGW12AB017F6ED	1
20359316,45aa193f916aad9e8dab2bbd9307781090c81271	SOFLJQZ12A6D4FADA6	2
6319823,e67005cc7b148bd608674c31ce8c89f41e858e3a	SOFYOKG12AF729DC20	4
10788667,f493a0b0c627f61c7faec74663a4ab160dc66ed2	SOOBKGE12A58A7CD7F	3
19924522,56972275afcc80e516b4624503c9d78a542b95f5	SOOLXGV12AB0189D8A	4
15002602,b755ae4e9da1b9aaeb3990317ba2d647fc5d98c1	SOCHKWF12A58A7C9B7	4
27423618,9b6142a1a3b011b3343e87e715eb829fa594e698	SOUOEMP12A8C13866E	6
41437989,dcceed4f5bf3e25834ec8866a00e870860bbae68	SOBONKR12A58A7A7E0	1
18963233,a8dc0513c8544791caa8b67edcaf51b3cc130270	SOPUCYA12A8C13A694	3
9540268,d4e239ca25c4d751bfa95c3757569eb31344ce1d	SOUCHPA12AB0184B1A	1
46154803,ed8b8f265ceef6f8a557226bd6d0b69cdca332f9	SOOKPGM12AB018C0EB	2
5213239,1f4c38cf22d6d75502ffc9de2fb0a4d43e98d5fe	SOYGHOJ12A6701FFBA	5
6869098,32b14887e054d355aa6d8a1354fc948070337145	SOPKVQT12A6701FB27	1
38046606,8d3788b0082fe086474f05fe04a73b39e9b420e6	SOVLTAZ12AB018B1C8	1
18161409,a86d318897d46e7b8170a1e3d8aada848c88eafb	SOXYRRJ12A3F1EB5F8	1
26197392,b254f3c9113719117f5a00ec0ab09ebdc0e7ae18	SOYKKSC12AF729E3B0	1
23276245,25cf3d836aa3a529ba52dcbaa063e297483dbbfb	SOUSHAW12A8C141201	1
9312721,28e1e9eea615e2a5056d54cfbfe993c3e483faa7	SOXEOLH12A6D4F9D37	1
34353409,9bc8716c1810eb04d2fe1ee54c2f929243af47c9	SOKUAIF12A8AE46732	3
37785419,02ebe1725b3dfb602e6e78b6b08f286535e0e507	SOPNLBX12A8C1377D4	2
29687052,45dd6fcaf8cbfad5c531abbde80a937ba239346d	SOJEKQL12AB018CC12	1
38188622,f9c8ac01dd1a04eb5661d8a6a10ee843c1075ab9	SOURSJX12A58A77C1E	1
27216405,70098d4c8e810ddf5057fe155f92f16f5c36236f	SOZHPUO12AB018506F	1
44316303,f1180c8d7688c68cc1b7b78bed50bf7ccf9d6df7	SOTTQWU12A6D4FC854	1
24466389,07333c95c4cb9fa5c7abd3d93343b800fa244d32	SOWGZFG12A8151AF41	1
23435894,578ce2c4d0388c6e26177df38ba279705324b28a	SOUFPNI12A8C142D19	1
25055922,6a476143781198b233ed567242bc7d180478c6da	SOSJILV12A6310EE12	2
6299864,3f4c6f4c5502d7c2c662fcf7040beb46d53ad168	SONNGZI12AF729ED0E	3
18425158,1e5a5b72e5e3c8445cb10e7403ba43a0be207389	SOTMRPE12A6D4FADDA	4
866488,67f2a9fda54d79e4e96b3ca4ef37a13b629c9bbe	SOHTINV12A6D4FBE92	1
35797141,fb9664a26d0db9947f59369291dd75367a52e398	SOZRKQL12A8C13C5A9	1
26798292,c910b006aca13cde71a76f66ea56c3c8dafa761a	SOCHTHF12AB017E206	1
14238901,6d2b8e24f970aa40e57b3c990e395605023e9fb6	SORDUDR12A6310EF78	1
18266804,bf48e81c30c499bcedfedf8e7f1da552436a889c	SOMYJOZ12A58A7D16F	1
40113193,308baa4d0c27d15c6fa8a2ce2c3b5f51a99b42d7	SOBMJGU12A8C1312F8	1
26305503,4d823b04a0561b7c3d59b8eabcb48e6d26cb554b	SOJVGGQ12AB0188F7F	4
2024387,6dcb8aa1282ec04d05a0f3fc619877048a79da73	SOXGSWF12A8C13D373	1
46168973,784c45b43a8360fa5389eaf96e2c0ce5dbbe31f5	SOCJCVE12A8C13CDDB	1
30372200,c1b3e8bba7d2a56453af75ca00c908e185a91ad1	SOJWBYS12A67AE17A1	4
19225673,47e93a6d73ec8591a755edd4e2838daaaf85bfbb	SOHTZML12A8C142CA4	5
34712364,d8d222d4682ceeb818e3f93d928ad20db3830cb9	SOMRPZT12A6D4FBB0C	1
8435991,afc03a7bf2040c1c51148df604e40254e24c67d4	SOEFJTB12AB01820D2	1
38602889,141a2e3e837273b0b3d7ec8cd95885fb884cf0ff	SOOVUMU12A8C13456D	1
38701047,0644d3a2f8e44e30ca941b5b060cec93ac03eafc	SORHDVY12A8C13A1D3	1
23759459,c7ce4f2a85d10b4c1ea116ff079361749b2a0f89	SOYAIPB12A8C143D84	1
13416479,20d05924e487994be1676205e3d62411481ea363	SOTSEDY12A6D4F5E85	1
45057048,58d66b80924247b16a979d3c48f4abab9684cbcc	SOFZFQU12A8C13CAB8	1
35818056,17f2be731567a9847160df8ba5758cb5cb123213	SOUSZSW12AB01800C2	1
2227971,1774b44f31b8c9c9e9ba84d0414db3ea063d30b5	SOXMDUA12A8C1338E7	2
47421281,fe6bc5b40124a82cac89824fc4b9ae169282f80d	SOFHKVZ12A6310E157	9
